,Unnamed: 0,start_action,end_action,duration,sequence_number
1104,0,app_started_com.libertyglobal.app.cinetree,app_stopped_com.libertyglobal.app.cinetree,,17
1105,1,app_stopped_com.libertyglobal.app.cinetree,open_personal_home,,17
1145,41,open_vod_collection,open_details_page_VoD,,17
1146,42,open_details_page_VoD,start_SVOD,,17
1185,12,START_rwd_nPVR_speed_-64.0,START_ffwd_nPVR_speed_1.0,,18
1311,0,start_TVOD,open_details_page_VoD,,20
1327,16,START_rwd_review_buffer_speed_-30.0,START_ffwd_review_buffer_speed_1.0,,20
1380,0,app_started_com.libertyglobal.app.MoodLounge,app_stopped_com.libertyglobal.app.MoodLounge,,21
1381,1,app_stopped_com.libertyglobal.app.MoodLounge,start_active_stand_by,,21
1470,21,open_settings,open_personal_home,,22
1794,0,start_LTV,start_LTV,,27
1802,8,start_qam_LTV,start_qam_LTV,,27
1848,54,START_rwd_LTV_speed_-2.0,start_qam_LTV,,27
1859,65,START_ffwd_LTV_speed_1.0,END_ffwd_LTV_speed_1.0,,27
1860,66,END_ffwd_LTV_speed_1.0,START_ffwd_LTV_speed_1.0,,27
1932,0,app_started_com.metrological.app.Wikipedia,app_stopped_com.metrological.app.Wikipedia,,29
1933,1,app_stopped_com.metrological.app.Wikipedia,start_active_stand_by,,29
1976,44,START_rwd_replay_speed_-30.0,START_ffwd_replay_speed_1.0,,29
2283,6,START_rwd_LTV_speed_0.0,END_rwd_LTV_speed_0.0,,34
2284,7,END_rwd_LTV_speed_0.0,start_qam_LTV,,34
